company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,total_funding,product_url,indeed_url,growth_percentage
Replai,replai.io,London,,UK,42,http://www.linkedin.com/company/replai,,AI,95,5040000,1,,,,,,,,https://www.growjo.com/company/Replai,https://www.indeed.com/jobs?q=company%3A(Replai),1.47
Algolia,algolia.com,San Francisco,CA,United States,827,http://www.linkedin.com/company/algolia,2012,AI,417,173773600,9,"Analytics,Data Storage,Human Resources Hr,Marketing,Marketing Analytics,Mobile,Search,Software Development,Storage, saas",Accel,500 Startups,B2B,2250000000,$334.2M,334200000,https://www.growjo.com/company/Algolia,https://www.indeed.com/jobs?q=company%3A(Algolia),0.26
Circulor,circulor.com,London,,UK,74,http://www.linkedin.com/company/circulor,,AI,96,10920000,1,,,,,,$19.8M,19800000,https://www.growjo.com/company/Circulor,https://www.indeed.com/jobs?q=company%3A(Circulor),0.06
Peak,peak.ai,Manchester,,UK,404,http://www.linkedin.com/company/peak-ai,2014,AI,1,75387200,1,saas,,,,,$117.7M,117700000,https://www.growjo.com/company/Peak,https://www.indeed.com/jobs?q=company%3A(Peak),0.18
SuperAnnotate,superannotate.com,Sunnyvale,CA,United States,129,http://www.linkedin.com/company/superannotate,2018,AI,235,19320000,1,,,,,,,,https://www.growjo.com/company/SuperAnnotate,https://www.indeed.com/jobs?q=company%3A(SuperAnnotate),0.03
Find Best Candidates,rolebot.io,Los Angeles,CA,United States,94,http://www.linkedin.com/company/rolebot,,AI,137,14140000,1,,,,,,,,https://www.growjo.com/company/Find_Best_Candidates,https://www.indeed.com/jobs?q=company%3A(Find Best Candidates),0.88
Verusen,verusen.com,Atlanta,GA,United States,67,http://www.linkedin.com/company/verusen,2015,AI,35,8526000,1,saas,,,,,$39.1M,39100000,https://www.growjo.com/company/Verusen,https://www.indeed.com/jobs?q=company%3A(Verusen),0.02
Beyond Limits,beyond.ai,Glendale,CA,United States,307,http://www.linkedin.com/company/beyond-ai,2014,AI,139,57251600,6,saas,BP Ventures,,,,$158.5M,158500000,https://www.growjo.com/company/Beyond_Limits,https://www.indeed.com/jobs?q=company%3A(Beyond Limits),0.06
Constructor.io,constructor.io,San Francisco,CA,United States,165,http://www.linkedin.com/company/constructor-io,2014,AI,434,26036500,1,"B2B, Search",,,,,$61.1M,61100000,https://www.growjo.com/company/Constructor.io,https://www.indeed.com/jobs?q=company%3A(Constructor.io),0.85
OneReach.ai,onereach.ai,Denver,CO,United States,188,http://www.linkedin.com/company/onereach,,AI,30,30954000,1,,,,,,,,https://www.growjo.com/company/OneReach.ai,https://www.indeed.com/jobs?q=company%3A(OneReach.ai),0.84
Genesis Therapeutics,genesistherapeutics.ai,South San Francisco,CA,United States,48,http://www.linkedin.com/company/genesistherapeutics,,AI,439,6426000,1,,,,,,,,https://www.growjo.com/company/Genesis_Therapeutics,https://www.indeed.com/jobs?q=company%3A(Genesis Therapeutics),0.5
A-Alpha Bio,aalphabio.com,Seattle,WA,United States,42,http://www.linkedin.com/company/aalphabio,2017,AI,75,5040000,1,,,,,,,,https://www.growjo.com/company/A-Alpha_Bio,https://www.indeed.com/jobs?q=company%3A(A-Alpha Bio),0.5
Writer,writer.com,San Francisco,CA,United States,80,http://www.linkedin.com/company/getwriter,2020,AI,445,12040000,1,,,,,,,,https://www.growjo.com/company/Writer,https://www.indeed.com/jobs?q=company%3A(Writer),0.82
SpotHopper,spothopperapp.com,Milwaukee,WI,USA,323,http://www.linkedin.com/company/spothopper,,AI,729,60550000,1,,,,,,,,https://www.growjo.com/company/SpotHopper,https://www.indeed.com/jobs?q=company%3A(SpotHopper),0.88
Viaduct,viaduct.ai,Menlo Park,CA,United States,35,http://www.linkedin.com/company/viaduct-ai,,AI,248,4144000,1,,,,,,,,https://www.growjo.com/company/Viaduct,https://www.indeed.com/jobs?q=company%3A(Viaduct),0.46
Eatron Technologies,eatron.com,Warwick,,UK,83,http://www.linkedin.com/company/eatron-technologies,2018,AI,741,12460000,1,,,,,,$14.2M,14200000,https://www.growjo.com/company/Eatron_Technologies,https://www.indeed.com/jobs?q=company%3A(Eatron Technologies),0.8
Neural Magic,neuralmagic.com,Somerville,MA,United States,49,http://www.linkedin.com/company/neural-magic,2018,AI,168,6552000,1,,,,,,,,https://www.growjo.com/company/Neural_Magic,https://www.indeed.com/jobs?q=company%3A(Neural Magic),0.44
TrialJectory,trialjectory.com,Stamford,CT,United States,53,http://www.linkedin.com/company/trialjectory,2017,AI,383,7182000,1,,,,,,,,https://www.growjo.com/company/TrialJectory,https://www.indeed.com/jobs?q=company%3A(TrialJectory),0.43
Buildots,buildots.com,Tel Aviv,,Israel,224,http://www.linkedin.com/company/buildots,2018,AI,22,36960000,1,,,,,,,,https://www.growjo.com/company/Buildots,https://www.indeed.com/jobs?q=company%3A(Buildots),0.78
Black Crow AI,blackcrow.ai,New York,NY,USA,71,http://www.linkedin.com/company/blackcrowai,,AI,796,10640000,1,,,,,,,,https://www.growjo.com/company/Black_Crow_AI,https://www.indeed.com/jobs?q=company%3A(Black Crow AI),0.73
Mindtech Global Limited,mindtech.global,Kings Langley,,UK,40,http://www.linkedin.com/company/mindtech-global-limited,2017,AI,827,4816000,1,,,,,,,,https://www.growjo.com/company/Mindtech_Global_Limited,https://www.indeed.com/jobs?q=company%3A(Mindtech Global Limited),0.33
Miovision,miovision.com,Kitchener,ON,CAN,359,http://www.linkedin.com/company/miovision-technologies,2005,AI,60,67030600,6,,,,,,$137.7M,137700000,https://www.growjo.com/company/Miovision,https://www.indeed.com/jobs?q=company%3A(Miovision),0.18
SLAMcore Limited,slamcore.com,London,,UK,47,http://www.linkedin.com/company/slamcore-limited,2016,AI,119,5600000,1,,,,,,,,https://www.growjo.com/company/SLAMcore_Limited,https://www.indeed.com/jobs?q=company%3A(SLAMcore Limited),0.31
Emi Labs,emilabs.ai,San Francisco,CA,United States,86,http://www.linkedin.com/company/holaemi-com,,AI,477,12880000,1,,,,,,,,https://www.growjo.com/company/Emi_Labs,https://www.indeed.com/jobs?q=company%3A(Emi Labs),0.69
GigaIO,gigaio.com,Carlsbad,CA,United States,43,http://www.linkedin.com/company/gigaionet.com,,AI,52,4788000,1,,,,,,$19.2M,19200000,https://www.growjo.com/company/GigaIO,https://www.indeed.com/jobs?q=company%3A(GigaIO),0.3
Arthur,arthur.ai,New York,NY,United States,56,http://www.linkedin.com/company/arthurai,2018,AI,407,7186200,1,"Machine Learning, Artificial Intelligence",,,,,$18.3M,18300000,https://www.growjo.com/company/Arthur,https://www.indeed.com/jobs?q=company%3A(Arthur),0.3
LOVO,lovo.ai,Berkeley,CA,United States,22,http://www.linkedin.com/company/lovoai,2019,AI,71,2352000,1,,,,,,,,https://www.growjo.com/company/LOVO,https://www.indeed.com/jobs?q=company%3A(LOVO),0.29
Noble.AI,noble.ai,San Francisco,CA,United States,43,http://www.linkedin.com/company/noble-ai,2017,AI,483,5152000,1,,,,,,,,https://www.growjo.com/company/Noble.AI,https://www.indeed.com/jobs?q=company%3A(Noble.AI),1.15
OfferFit,offerfit.ai,Dallas,TX,United States,58,http://www.linkedin.com/company/offerfit,2020,AI,51,7812000,1,,,,,,,,https://www.growjo.com/company/OfferFit,https://www.indeed.com/jobs?q=company%3A(OfferFit),1.15
Oloid,oloid.ai,Sunnyvale,CA,United States,40,http://www.linkedin.com/company/oloid-ai,2018,AI,262,4816000,1,,,,,,,,https://www.growjo.com/company/Oloid,https://www.indeed.com/jobs?q=company%3A(Oloid),0.29
Datagen,datagen.tech,Tel Aviv,,Israel,118,http://www.linkedin.com/company/datagen-tech,2017,AI,23,17640000,1,,,,,,,,https://www.growjo.com/company/Datagen,https://www.indeed.com/jobs?q=company%3A(Datagen),0.66
Vouched,vouched.id,Seattle,WA,United States,38,http://www.linkedin.com/company/woollylabs,,AI,87,4256000,1,,,,,,$11.9M,11900000,https://www.growjo.com/company/Vouched,https://www.indeed.com/jobs?q=company%3A(Vouched),0.27
Abacus AI,abacus.ai,San Francisco,CA,United States,86,http://www.linkedin.com/company/abacusai,2019,AI,495,12880000,1,,,,,,,,https://www.growjo.com/company/Abacus_AI,https://www.indeed.com/jobs?q=company%3A(Abacus AI),0.65
Voxel,voxelsafety.com,San Francisco,CA,United States,48,http://www.linkedin.com/company/voxelai,2020,AI,512,6426000,1,,,,,,,,https://www.growjo.com/company/Voxel,https://www.indeed.com/jobs?q=company%3A(Voxel),1.09
quadric.io,quadric.io,Burlingame,CA,United States,43,http://www.linkedin.com/company/quadric.io,2016,AI,277,5152000,1,,,,,,,,https://www.growjo.com/company/quadric.io,https://www.indeed.com/jobs?q=company%3A(quadric.io),0.23
Element AI,elementai.com,Montreal,QC,CAN,55,http://www.linkedin.com/company/elementai,2016,AI,19,7064400,27,,Canadian government,,,700000000,$257.5M,257500000,https://www.growjo.com/company/Element_AI,https://www.indeed.com/jobs?q=company%3A(Element AI),0.22
Supir,gosupir.com,Baltimore,MD,United States,271,http://www.linkedin.com/company/supir,2020,AI,9,44660000,1,,,,,,,,https://www.growjo.com/company/Supir,https://www.indeed.com/jobs?q=company%3A(Supir),1.34
Agolo,agolo.com,New York,NY,United States,46,http://www.linkedin.com/company/agolo,2013,AI,430,5488000,1,,,,,,,,https://www.growjo.com/company/Agolo,https://www.indeed.com/jobs?q=company%3A(Agolo),0.21
Lang.ai,lang.ai,Madrid,,Spain,49,http://www.linkedin.com/company/lang-ai,2018,AI,5,6552000,1,,,,,,,,https://www.growjo.com/company/Lang.ai,https://www.indeed.com/jobs?q=company%3A(Lang.ai),1.04
Five Sigma,fivesigmalabs.com,Indianapolis,IN,United States,55,http://www.linkedin.com/company/five-sigma,,AI,11,7434000,1,,,,,,,,https://www.growjo.com/company/Five_Sigma,https://www.indeed.com/jobs?q=company%3A(Five Sigma),1.04
Diveplane Corporation,diveplane.com,Raleigh,NC,United States,33,http://www.linkedin.com/company/diveplane,2017,AI,30,3724000,1,"Machine Learning, Artificial Intelligence, Technology",,,,,$9M,9000000,https://www.growjo.com/company/Diveplane_Corporation,https://www.indeed.com/jobs?q=company%3A(Diveplane Corporation),0.18
Factored,factored.ai,Palo Alto,CA,United States,167,http://www.linkedin.com/company/factoredai,2019,AI,289,26337500,1,"Machine Learning, Artificial Intelligence",,,,,$2.5M,2500000,https://www.growjo.com/company/Factored,https://www.indeed.com/jobs?q=company%3A(Factored),0.59
Synthesis AI,synthesis.ai,San Francisco,CA,United States,35,http://www.linkedin.com/company/synthesis-ai,2019,AI,526,4144000,1,,,,,,,,https://www.growjo.com/company/Synthesis_AI,https://www.indeed.com/jobs?q=company%3A(Synthesis AI),0.17
dsp Database Managed Services,dsp.co.uk,London,,UK,217,http://www.linkedin.com/company/dsp-global,2000,AI,136,35728000,1,"Data Storage,Storage",,,,,,,https://www.growjo.com/company/dsp_Database_Managed_Services,https://www.indeed.com/jobs?q=company%3A(dsp Database Managed Services),0.57
Opteran,opteran.com,Sheffield,,,50,http://www.linkedin.com/company/opteran,2020,AI,1179,6804000,1,,,,,,,,https://www.growjo.com/company/Opteran,https://www.indeed.com/jobs?q=company%3A(Opteran),1
Alife Health,alifehealth.com,San Francisco,CA,United States,44,http://www.linkedin.com/company/alife-health,,AI,538,5264000,1,,,,,,,,https://www.growjo.com/company/Alife_Health,https://www.indeed.com/jobs?q=company%3A(Alife Health),0.13
Cognigy,cognigy.com,Dￃﾃￂﾼsseldorf,,,164,http://www.linkedin.com/company/cognigy,2016,AI,1217,25886000,1,saas,,,,,$69M,69000000,https://www.growjo.com/company/Cognigy,https://www.indeed.com/jobs?q=company%3A(Cognigy),0.55
Built Robotics,builtrobotics.com,San Francisco,CA,United States,41,http://www.linkedin.com/company/builtrobotics,2016,AI,542,4928000,1,,,,,,,,https://www.growjo.com/company/Built_Robotics,https://www.indeed.com/jobs?q=company%3A(Built Robotics),0.11
Grid.ai,grid.ai,New York,NY,United States,49,http://www.linkedin.com/company/grid-ai,2019,AI,469,6211800,1,,,,,,$18.6M,18600000,https://www.growjo.com/company/Grid.ai,https://www.indeed.com/jobs?q=company%3A(Grid.ai),0.96
Docyt,docyt.com,Sunnyvale,CA,United States,87,http://www.linkedin.com/company/docyt,,AI,301,13020000,1,,,,,,,,https://www.growjo.com/company/Docyt,https://www.indeed.com/jobs?q=company%3A(Docyt),0.53
Spot AI,spot.ai,Los Altos,CA,United States,110,http://www.linkedin.com/company/spot-ai,2018,AI,302,16520000,1,,,,,,,,https://www.growjo.com/company/Spot_AI,https://www.indeed.com/jobs?q=company%3A(Spot AI),0.53
Algo,algo.com,Troy,MI,United States,241,http://www.linkedin.com/company/algoai,2016,AI,29,38076500,10,Artificial Intelligence,Integrity Growth Partners,,,,$15M,15000000,https://www.growjo.com/company/Algo,https://www.indeed.com/jobs?q=company%3A(Algo),0.5
Lincode,lincode.ai,Menlo Park,CA,United States,48,http://www.linkedin.com/company/lincodelabs,2017,AI,303,5320000,1,Manufacturing,,,,,,,https://www.growjo.com/company/Lincode,https://www.indeed.com/jobs?q=company%3A(Lincode),0.09
Posh Technologies,posh.tech,Boston,MA,United States,105,http://www.linkedin.com/company/posh-development,2018,AI,220,15680000,1,,,,,,,,https://www.growjo.com/company/Posh_Technologies,https://www.indeed.com/jobs?q=company%3A(Posh Technologies),0.52
Nectar Technologies,nectar.buzz,,,,27,http://www.linkedin.com/company/nectar-technologies,2016,AI,1275,2842000,1,,,,,,,,https://www.growjo.com/company/Nectar_Technologies,https://www.indeed.com/jobs?q=company%3A(Nectar Technologies),0.08
Vectice,vectice.com,San Francisco,CA,United States,33,http://www.linkedin.com/company/vectice,,AI,555,3920000,1,,,,,,,,https://www.growjo.com/company/Vectice,https://www.indeed.com/jobs?q=company%3A(Vectice),0.06
Snapcommerce,snapcommerce.com,Toronto,ON,CAN,508,http://www.linkedin.com/company/snapcommerce-inc,2016,AI,78,95200000,1,,,,,,,,https://www.growjo.com/company/Snapcommerce,https://www.indeed.com/jobs?q=company%3A(Snapcommerce),0.66
Invisible AI,invisible.ai,San Francisco,CA,United States,38,http://www.linkedin.com/company/invisibleai,2018,AI,571,4592000,1,,,,,,,,https://www.growjo.com/company/Invisible_AI,https://www.indeed.com/jobs?q=company%3A(Invisible AI),0.9
7bridges,the7bridges.com,London,,UK,76,http://www.linkedin.com/company/the7bridges,2016,AI,155,11340000,1,,,,,,,,https://www.growjo.com/company/7bridges,https://www.indeed.com/jobs?q=company%3A(7bridges),0.46
MakinaRocks,makinarocks.ai,,,,76,http://www.linkedin.com/company/makinarocks,2017,AI,1389,11200000,1,,,,,,$11.5M,11500000,https://www.growjo.com/company/MakinaRocks,https://www.indeed.com/jobs?q=company%3A(MakinaRocks),0.46
Overwatch Imaging,overwatchimaging.com,Hood River,OR,United States,43,http://www.linkedin.com/company/overwatch-imaging,2016,AI,1394,5152000,1,,,,,,,,https://www.growjo.com/company/Overwatch_Imaging,https://www.indeed.com/jobs?q=company%3A(Overwatch Imaging),0.87
CureSkin App,cureskin.com,Bangalore,,India,104,http://www.linkedin.com/company/cureskin,2016,AI,30,7770000,1,,,,,,,,https://www.growjo.com/company/CureSkin_App,https://www.indeed.com/jobs?q=company%3A(CureSkin App),1.17
Sensi.ai,sensi.ai,Tel Aviv,,Israel,101,http://www.linkedin.com/company/sensi-ai,2019,AI,24,15120000,1,,,,,,,,https://www.growjo.com/company/Sensi.ai,https://www.indeed.com/jobs?q=company%3A(Sensi.ai),1.15
Thankful,thankful.ai,Venice,CA,United States,58,http://www.linkedin.com/company/thankfulai,,AI,205,7812000,1,,,,,,,,https://www.growjo.com/company/Thankful,https://www.indeed.com/jobs?q=company%3A(Thankful),0.81
Prisma.AI,prisma-ai.com,Sunnyvale,CA,United States,72,http://www.linkedin.com/company/prismalabs,2016,AI,329,10780000,1,,,,,,,,https://www.growjo.com/company/Prisma.AI,https://www.indeed.com/jobs?q=company%3A(Prisma.AI),0.41
Elementary,elementaryml.com,,,,140,http://www.linkedin.com/company/elementary-ml,,AI,1502,23100000,1,,,,,,,,https://www.growjo.com/company/Elementary,https://www.indeed.com/jobs?q=company%3A(Elementary),0.41
Vamstar,vamstar.io,London,,UK,135,http://www.linkedin.com/company/vamstar,2020,AI,170,22176000,1,,,,,,,,https://www.growjo.com/company/Vamstar,https://www.indeed.com/jobs?q=company%3A(Vamstar),0.41
1910 Genetics,1910genetics.com,Cambridge,MA,United States,37,http://www.linkedin.com/company/1910genetics,2018,AI,268,4480000,1,,,,,,,,https://www.growjo.com/company/1910_Genetics,https://www.indeed.com/jobs?q=company%3A(1910 Genetics),0.32
micropsi industries,micropsi-industries.com,Berlin,,Germany,61,http://www.linkedin.com/company/micropsi-industries,2014,AI,17,8190000,1,,,,,,,,https://www.growjo.com/company/micropsi_industries,https://www.indeed.com/jobs?q=company%3A(micropsi industries),0.36
CloudNC,cloudnc.com,London,,UK,103,http://www.linkedin.com/company/cloudnc,2015,AI,181,15400000,1,,,,,,,,https://www.growjo.com/company/CloudNC,https://www.indeed.com/jobs?q=company%3A(CloudNC),0.36
Intento,inten.to,Berkeley,CA,United States,79,http://www.linkedin.com/company/inten.to,2016,AI,107,11620000,1,saas,,,,,$4M,4000000,https://www.growjo.com/company/Intento,https://www.indeed.com/jobs?q=company%3A(Intento),0.34
MoBagel,mobagel.com,San Jose,CA,United States,60,http://www.linkedin.com/company/mobagel,2009,AI,358,7673400,1,"Machine Learning, Big Data, Artificial Intelligence, Predictive Analytics",,,,,$20.5M,20500000,https://www.growjo.com/company/MoBagel,https://www.indeed.com/jobs?q=company%3A(MoBagel),0.33
WhiteSpace Health,whitespacehealth.com,Boca Raton,FL,United States,46,http://www.linkedin.com/company/whitespace-health,,AI,71,5488000,1,,,,,,,,https://www.growjo.com/company/WhiteSpace_Health,https://www.indeed.com/jobs?q=company%3A(WhiteSpace Health),0.7
Private AI,private-ai.com,Toronto,ON,CAN,46,http://www.linkedin.com/company/private-ai,2017,AI,97,5488000,1,,,,,,,,https://www.growjo.com/company/Private_AI,https://www.indeed.com/jobs?q=company%3A(Private AI),0.7
Yembo,yembo.ai,San Diego,CA,United States,63,http://www.linkedin.com/company/yembo,,AI,79,8038800,1,,,,,,$12.9M,12900000,https://www.growjo.com/company/Yembo,https://www.indeed.com/jobs?q=company%3A(Yembo),0.31
GoodVision,goodvisionlive.com,London,,UK,32,http://www.linkedin.com/company/18128524,,AI,200,3920000,1,,,,,,$4M,4000000,https://www.growjo.com/company/GoodVision,https://www.indeed.com/jobs?q=company%3A(GoodVision),0.39
Arize AI,arize.com,Berkeley,CA,United States,80,http://www.linkedin.com/company/arizeai,,AI,109,12040000,1,,,,,,,,https://www.growjo.com/company/Arize_AI,https://www.indeed.com/jobs?q=company%3A(Arize AI),0.31
Waabi,waabi.ai,,,,99,http://www.linkedin.com/company/waabi,,AI,1727,14840000,1,,,,,,,,https://www.growjo.com/company/Waabi,https://www.indeed.com/jobs?q=company%3A(Waabi),1.02
rct AI,rct.ai,,,,66,http://www.linkedin.com/company/rct-ai,,AI,1749,8946000,1,,,,,,,,https://www.growjo.com/company/rct_AI,https://www.indeed.com/jobs?q=company%3A(rct AI),0.29
Algolux,algolux.com,Montreal,QC,CAN,107,http://www.linkedin.com/company/algolux,2014,AI,28,15680000,15,"Cleantech,Enterprise Software,Hardware,Hardware Peripherals,Healthcare,Information Security,Medical Devices,Mobile,Physical Security,Security,Solar Power,Wind Power",General Motors (GM) Ventures,,B2B,,$41.7M,41700000,https://www.growjo.com/company/Algolux,https://www.indeed.com/jobs?q=company%3A(Algolux),0.18
WhyLabs,whylabs.ai,Seattle,WA,United States,46,http://www.linkedin.com/company/whylabsai,2019,AI,137,5488000,1,,,,,,,,https://www.growjo.com/company/WhyLabs,https://www.indeed.com/jobs?q=company%3A(WhyLabs),0.64
TruEra,truera.com,Redwood City,CA,United States,77,http://www.linkedin.com/company/truera,2019,AI,383,11480000,1,,,,,,,,https://www.growjo.com/company/TruEra,https://www.indeed.com/jobs?q=company%3A(TruEra),0.28
Biotia,biotia.io,New York,NY,United States,31,http://www.linkedin.com/company/biotia,2016,AI,590,3696000,1,,,,,,,,https://www.growjo.com/company/Biotia,https://www.indeed.com/jobs?q=company%3A(Biotia),0.63
Nstream,nstream.io,San Jose,CA,United States,65,http://www.linkedin.com/company/nstreamio,2015,AI,385,7438500,1,,,,,,$25M,25000000,https://www.growjo.com/company/Nstream,https://www.indeed.com/jobs?q=company%3A(Nstream),0.27
DigitalOwl,digitalowl.com,Tel Aviv,,Israel,72,http://www.linkedin.com/company/digitalowlai,2017,AI,30,10780000,1,,,,,,,,https://www.growjo.com/company/DigitalOwl,https://www.indeed.com/jobs?q=company%3A(DigitalOwl),0.26
Geminus.AI,geminus.ai,Palo Alto,CA,United States,29,http://www.linkedin.com/company/geminus-ai,2018,AI,389,3472000,1,,,,,,,,https://www.growjo.com/company/Geminus.AI,https://www.indeed.com/jobs?q=company%3A(Geminus.AI),0.61
Bigleaf Networks,bigleaf.net,Beaverton,OR,United States,96,http://www.linkedin.com/company/bigleaf-networks,2012,AI,19,14140000,4,"Customer Support,Data Storage,Information Security,Internet of Things,Security,Storage,Telecommunications",GoAhead Ventures,,B2B,,$27.4M,27400000,https://www.growjo.com/company/Bigleaf_Networks,https://www.indeed.com/jobs?q=company%3A(Bigleaf Networks),0.23
Cabinet,joincabinet.com,New York,NY,United States,118,http://www.linkedin.com/company/joincabinet,2018,AI,614,17640000,1,,,,,,,,https://www.growjo.com/company/Cabinet,https://www.indeed.com/jobs?q=company%3A(Cabinet),0.26
Red Sift,redsift.com,London,,UK,111,http://www.linkedin.com/company/redsift,2015,AI,219,16660000,1,saas,,,,,,,https://www.growjo.com/company/Red_Sift,https://www.indeed.com/jobs?q=company%3A(Red Sift),0.25
Fathom Health,fathomhealth.com,San Francisco,CA,United States,49,http://www.linkedin.com/company/fathom-health,2017,AI,689,6552000,1,,,,,,,,https://www.growjo.com/company/Fathom_Health,https://www.indeed.com/jobs?q=company%3A(Fathom Health),0.58
Superb AI,superb-ai.com,San Mateo,CA,United States,84,http://www.linkedin.com/company/superb-ai,2018,AI,400,12320000,1,,,,,,$11.6M,11600000,https://www.growjo.com/company/Superb_AI,https://www.indeed.com/jobs?q=company%3A(Superb AI),0.24
AiSight,aisight.io,Berlin,,Germany,74,http://www.linkedin.com/company/aisight,2018,AI,21,11060000,1,,,,,,,,https://www.growjo.com/company/AiSight,https://www.indeed.com/jobs?q=company%3A(AiSight),0.95
KernalBiologics,kernalbio.com,Cambridge,MA,United States,33,http://www.linkedin.com/company/kernal-biologics-inc.,2016,AI,310,3920000,1,,,,,,,,https://www.growjo.com/company/KernalBiologics,https://www.indeed.com/jobs?q=company%3A(KernalBiologics),0.57
KenSci,kensci.com,Seattle,WA,United States,118,http://www.linkedin.com/company/kensci,2015,AI,141,17360000,1,saas,,,,,$30.5M,30500000,https://www.growjo.com/company/KenSci,https://www.indeed.com/jobs?q=company%3A(KenSci),0.23
Celestial AI,inorganicintelligence.ai,,,,60,http://www.linkedin.com/company/celestial-ai,,AI,1963,8064000,1,,,,,,,,https://www.growjo.com/company/Celestial_AI,https://www.indeed.com/jobs?q=company%3A(Celestial AI),0.94
Gridware,gridware.io,Sacramento,CA,United States,28,http://www.linkedin.com/company/gridwareinc,2020,AI,6,3360000,1,,,,,,,,https://www.growjo.com/company/Gridware,https://www.indeed.com/jobs?q=company%3A(Gridware),0.56
GameOn,gameontechnology.com,San Francisco,CA,United States,59,http://www.linkedin.com/company/gameon-inc,2014,AI,701,7938000,1,,,,,,,,https://www.growjo.com/company/GameOn,https://www.indeed.com/jobs?q=company%3A(GameOn),0.55
GGWP,ggwp.com,San Francisco,CA,United States,65,http://www.linkedin.com/company/ggwpinc,2020,AI,710,8820000,1,,,,,,,,https://www.growjo.com/company/GGWP,https://www.indeed.com/jobs?q=company%3A(GGWP),0.2
Beacon Biosignals,beacon.bio,Boston,MA,United States,52,http://www.linkedin.com/company/beacon-biosignals,2019,AI,320,7056000,1,,,,,,,,https://www.growjo.com/company/Beacon_Biosignals,https://www.indeed.com/jobs?q=company%3A(Beacon Biosignals),0.53
DeepHow,deephow.com,Detroit,MI,United States,73,http://www.linkedin.com/company/deephow,,AI,46,10780000,1,,,,,,$9.1M,9100000,https://www.growjo.com/company/DeepHow,https://www.indeed.com/jobs?q=company%3A(DeepHow),0.18
Datasaur.ai,datasaur.ai,Sunnyvale,CA,United States,111,http://www.linkedin.com/company/datasaur,2019,AI,430,16660000,1,,,,,,,,https://www.growjo.com/company/Datasaur.ai,https://www.indeed.com/jobs?q=company%3A(Datasaur.ai),0.18
FISCAL Technologies,fiscaltec.com,Reading,,,74,http://www.linkedin.com/company/fiscal-technologies,2003,AI,2177,10920000,1,,,,,,$4.7M,4700000,https://www.growjo.com/company/FISCAL_Technologies,https://www.indeed.com/jobs?q=company%3A(FISCAL Technologies),0.17
Navina Health,navina.ai,,,,102,http://www.linkedin.com/company/navina-ai,,AI,2194,15260000,1,,,,,,,,https://www.growjo.com/company/Navina_Health,https://www.indeed.com/jobs?q=company%3A(Navina Health),0.89
Wolkus HQ,fasal.co,Bangalore,,India,174,http://www.linkedin.com/company/fasal,2018,AI,43,14322000,1,,,,,,,,https://www.growjo.com/company/Wolkus_HQ,https://www.indeed.com/jobs?q=company%3A(Wolkus HQ),0.89
Expedock,expedock.com,Silicon Valley,,,94,http://www.linkedin.com/company/expedock,2019,AI,2236,14140000,1,,,,,,,,https://www.growjo.com/company/Expedock,https://www.indeed.com/jobs?q=company%3A(Expedock),0.88
Legion Technologies,legion.co,Redwood City,CA,United States,172,http://www.linkedin.com/company/legionco,2016,AI,439,27240500,1,saas,"First Round Capital, XYZ Ventures",,,,$85.5M,85500000,https://www.growjo.com/company/Legion_Technologies,https://www.indeed.com/jobs?q=company%3A(Legion Technologies),0.17
Ambient.ai,ambient.ai,Palo Alto,CA,United States,90,http://www.linkedin.com/company/ambient-ai,2017,AI,453,13440000,1,,,,,,,,https://www.growjo.com/company/Ambient.ai,https://www.indeed.com/jobs?q=company%3A(Ambient.ai),0.14
TrackIt,trackit.io,Marina Del Rey,CA,United States,61,http://www.linkedin.com/company/trackitcloud,2014,AI,295,8190000,1,,,,,,,,https://www.growjo.com/company/TrackIt,https://www.indeed.com/jobs?q=company%3A(TrackIt),0.85
Cydar Medical,cydarmedical.com,Barrington,UK,,53,http://www.linkedin.com/company/cydarmedical,2014,AI,2410,7182000,1,,,,,,,,https://www.growjo.com/company/Cydar_Medical,https://www.indeed.com/jobs?q=company%3A(Cydar Medical),0.43
Daivergent,daivergent.com,,,,57,http://www.linkedin.com/company/daivergent,2017,AI,2431,7308000,1,"Machine Learning, Marketplaces, Artificial Intelligence, Behavioral Therapy, Aba Therapy, Autism, Psychology",,,,,$1.1M,1100000,https://www.growjo.com/company/Daivergent,https://www.indeed.com/jobs?q=company%3A(Daivergent),0.43
Ambi Robotics,ambirobotics.com,,,,57,http://www.linkedin.com/company/ambirobotics,,AI,2432,7686000,1,,,,,,,,https://www.growjo.com/company/Ambi_Robotics,https://www.indeed.com/jobs?q=company%3A(Ambi Robotics),0.43
CareAR A Xerox Company,carear.com,Austin,TX,United States,85,http://www.linkedin.com/company/carear,,AI,160,12740000,1,,,,,,,,https://www.growjo.com/company/CareAR_A_Xerox_Company,https://www.indeed.com/jobs?q=company%3A(CareAR A Xerox Company),0.12
Distributed,distributed.cx,London,,UK,119,http://www.linkedin.com/company/dstbtd,2017,AI,275,17780000,1,,,,,,,,https://www.growjo.com/company/Distributed,https://www.indeed.com/jobs?q=company%3A(Distributed),0.83
